batch_id,date,apple_variety
B-2024-001,2024-03-04,Granny Smith
B-2024-002,2024-03-05,Red Delicious
B-2024-003,2024-03-06,Granny Smith
B-2024-004,2024-03-07,Red Delicious
B-2024-005,2024-03-08,Granny Smith
B-2024-006,2024-03-11,Granny Smith
B-2024-007,2024-03-12,Red Delicious
B-2024-008,2024-03-13,Red Delicious
B-2024-009,2024-03-14,Granny Smith
B-2024-010,2024-03-15,Granny Smith
B-2024-011,2024-03-18,Red Delicious
B-2024-012,2024-03-19,Red Delicious
B-2024-013,2024-03-20,Red Delicious
B-2024-014,2024-03-21,Granny Smith
B-2024-015,2024-03-22,Granny Smith
B-2024-016,2024-03-25,Granny Smith
B-2024-017,2024-03-26,Red Delicious
B-2024-018,2024-03-27,Granny Smith
B-2024-019,2024-03-28,Red Delicious
B-2024-020,2024-03-29,Granny Smith
B-2024-021,2024-04-01,Granny Smith
B-2024-022,2024-04-02,Red Delicious
B-2024-023,2024-04-03,Granny Smith
B-2024-024,2024-04-04,Red Delicious
B-2024-025,2024-04-05,Red Delicious
