video_id,step,task,action,start_sec,end_sec,condition,condition_response,source
alice,Cut a section from the apple,Select and position apple,The operator identifies the apple as their own and holds it against the board with the left hand while bringing the knife into position with the right hand beside it.,2,3,,,both
alice,Cut a section from the apple,Make first cut,"The operator cuts the apple, pressing the knife straight down through it with the right hand while the left hand steadies the apple, cutting a section away from the core piece.",3,4,,,both
alice,Cut a section from the apple,Set aside the core piece,"The operator lifts the core piece away with the left hand and sets it down on the counter to the left of the board, leaving the section under the knife.",4,5,,,visual
alice,Cut the section into slices,Cut slices from the section,"The operator holds the section upright on its cut face with the fingers of the left hand and draws the knife down through it with the right hand, cutting the first slice from the section.",5,9,,,visual
alice,Cut the section into slices,Cut slices from the section,"The operator repositions the section in the left hand and again draws the knife down through it with the right hand, cutting a second slice free.",9,11,,,visual
alice,Cut the section into slices,Cut slices from the section,"The operator steadies the shrinking section between the fingers of the left hand and presses the knife straight down through it, cutting a third slice from the section.",11,13,,,visual
alice,Cut the section into slices,Cut slices from the section,"The operator repeats short downward cuts through the remaining section, the left hand rotating and steadying the shrinking piece after each cut, until it is reduced to a fan of six slices on the board.",13,15,,,visual
alice,Cut the section into slices,Evaluate cut quality,"The operator judges the cut to be fine, indicating satisfaction with the size and shape of the slices produced.",15,16,,,narrated
alice,Clear and arrange the slices,Consolidate the cut slices,"The operator lays the flat of the knife blade against the fanned slices and presses them together with the right hand while the left hand holds them in place, squaring up the stack.",15,16,,,visual
alice,Clear and arrange the slices,Consolidate the cut slices,The operator uses the fingers of the left hand to push the slices further into the top right corner of the board while the right hand lifts the knife clear.,16,17,,,visual
alice,Clear and arrange the slices,Consolidate the cut slices,"The operator continues sweeping the slices with the left hand, consolidating them into a single cluster in the corner of the board.",17,18,,,visual
alice,Clear and arrange the slices,Consolidate the cut slices,"The operator withdraws the left hand from the board, leaving the six slices clustered in the top right corner.",18,19,,,visual
alice,Clear and arrange the slices,Finish the process,"The operator leaves the knife resting on the counter beside the board and confirms that the result should be good, with the core piece at the left edge and the cut slices grouped in the corner, marking the end of the cutting process.",19,21,,,both
georgia,Prepare the workspace,Check the cutting board,The operator reaches down and briefly touches the near corner of the board with the fingertips before withdrawing the hand.,1,2,,,visual
georgia,Prepare the workspace,Select the knife,"The operator picks up a knife, realizes it is not the one they want, and sets it aside.",6.5,10.6,realizes it's not the knife they want,adjusted,narrated
georgia,Prepare the workspace,Select the knife,The operator picks up a different knife to use instead.,10.6,10.6,,,narrated
georgia,Cut a slice from the first apple section,Position the section for cutting,"The operator picks up the section from the board with the left hand, holding it upright by the rounded skin side with the stem end pointing up, and brings it toward the knife blade held ready in the right hand.",5,6,,,visual
georgia,Cut a slice from the first apple section,Cut the slice from the section,"The operator presses the knife blade against the top of the section and draws it downward, cutting partway through the flesh and exposing a pale cut face near the base of the piece.",6,8,,,both
georgia,Cut a slice from the first apple section,Cut the slice from the section,"The operator rotates the section slightly in the left hand, repositioning the freshly cut face against the blade, while the right hand holds the knife steady beside it.",9,10,,,both
georgia,Cut a slice from the first apple section,Cut the slice from the section,"The operator draws the knife blade fully down through the section in one stroke, cutting a slice with a flat pale cut face free from the smaller remaining piece still held in the left hand.",11,13,,,both
georgia,Cut a slice from the first apple section,Set the cut slice aside,"The operator releases the separated slice, letting it come to rest cut-face-up at the top-left corner of the board, while retaining the smaller trimmed piece of the section in the left hand for further cutting.",13,15,,,visual
georgia,Trim and slice the remaining section,Trim scrap from the section's edge,"The operator lifts the trimmed piece and positions its skin-covered edge under the knife blade with the left hand, intending to trim the ends to make them more even.",16,17,,,both
georgia,Trim and slice the remaining section,Trim scrap from the section's edge,"The operator draws the knife blade down through the edge of the piece, cutting away a small scrap of skin and flesh that falls to the board beside the piece.",17,18,,,both
georgia,Trim and slice the remaining section,Trim scrap from the section's edge,"The operator repositions the piece in the left hand and draws the blade down again, cutting a further small scrap free from the piece's edge.",19,20,,,both
