run_id,operator_id,n_slices,mean_width_mm,std_width_mm,pct_out_of_tolerance,passes_transfer_gate
run_001,molly,15,3.898,0.265,0.0,True
run_002,molly,19,4.099,0.186,0.0,True
run_003,molly,18,3.971,0.283,0.0,True
run_004,molly,20,4.069,0.244,0.0,True
run_005,molly,18,4.056,0.307,0.0,True
run_006,molly,17,4.081,0.371,0.0,True
run_007,molly,17,4.058,0.194,0.0,True
run_008,molly,16,4.045,0.367,0.0,True
run_009,molly,15,3.928,0.311,0.0,True
run_010,molly,19,3.937,0.298,0.0,True
run_011,molly,19,3.941,0.295,0.0,True
run_012,molly,16,4.157,0.311,0.0,True
run_013,molly,20,3.93,0.266,0.0,True
run_014,molly,19,4.039,0.312,0.0,True
run_015,molly,19,3.923,0.329,0.0,True
run_016,molly,16,4.06,0.324,0.0,True
run_017,molly,20,3.963,0.246,0.0,True
run_018,molly,17,3.993,0.254,0.0,True
run_019,molly,20,3.973,0.34,0.0,True
run_020,molly,16,3.992,0.34,0.0,True
run_021,molly,19,4.005,0.195,0.0,True
run_022,molly,19,3.98,0.365,0.0,True
run_023,molly,18,3.986,0.373,0.0,True
run_024,molly,18,3.882,0.401,0.0,True
run_025,molly,20,3.913,0.317,0.0,True
run_026,georgia,18,3.887,0.565,5.56,False
run_027,georgia,19,3.892,0.592,5.26,False
run_028,georgia,16,3.996,0.754,18.75,False
run_029,georgia,20,4.226,0.633,10.0,False
run_030,georgia,20,4.002,0.535,5.0,False
run_031,georgia,17,4.041,0.605,5.88,False
run_032,georgia,18,3.813,0.53,11.11,False
run_033,georgia,17,4.092,0.786,23.53,False
run_034,georgia,19,4.044,0.599,10.53,False
run_035,georgia,19,3.8,0.535,10.53,False
run_036,georgia,17,3.679,0.648,11.76,False
run_037,georgia,17,4.033,0.62,5.88,False
run_038,georgia,17,4.094,0.477,0.0,True
run_039,georgia,20,3.911,0.767,15.0,False
run_040,georgia,15,4.016,0.604,6.67,False
run_041,georgia,17,4.042,0.499,0.0,True
run_042,georgia,16,4.262,0.462,6.25,True
run_043,georgia,19,3.864,0.497,5.26,True
run_044,georgia,16,4.008,0.483,12.5,True
run_045,georgia,19,4.022,0.589,5.26,False
run_046,georgia,16,4.109,0.505,0.0,False
run_047,georgia,17,3.962,0.755,11.76,False
run_048,georgia,19,4.304,0.518,5.26,False
run_049,georgia,18,4.038,0.514,5.56,False
run_050,georgia,15,4.055,0.681,20.0,False
run_051,alice,18,4.176,0.695,22.22,False
run_052,alice,15,3.575,0.868,33.33,False
run_053,alice,20,3.862,0.682,20.0,False
run_054,alice,18,4.058,0.752,16.67,False
run_055,alice,17,3.673,0.972,35.29,False
run_056,alice,17,4.281,0.91,35.29,False
run_057,alice,17,3.945,0.573,5.88,False
run_058,alice,20,4.144,0.637,20.0,False
run_059,alice,18,3.744,0.81,27.78,False
run_060,alice,18,3.869,0.967,22.22,False
run_061,alice,18,3.872,0.668,22.22,False
run_062,alice,15,4.204,0.794,13.33,False
run_063,alice,19,4.117,0.801,26.32,False
run_064,alice,19,3.895,0.756,21.05,False
run_065,alice,16,3.904,0.942,31.25,False
run_066,alice,15,4.414,0.854,26.67,False
run_067,alice,20,3.918,0.825,15.0,False
run_068,alice,16,4.173,0.737,31.25,False
run_069,alice,20,3.957,0.85,20.0,False
run_070,alice,20,3.926,0.622,15.0,False
run_071,alice,15,4.054,0.78,20.0,False
run_072,alice,20,3.708,0.949,30.0,False
run_073,alice,17,4.014,0.812,23.53,False
run_074,alice,16,3.771,0.575,12.5,False
run_075,alice,19,3.829,0.614,10.53,False
run_076,tori,19,3.621,1.001,42.11,False
run_077,tori,15,4.2,0.833,26.67,False
run_078,tori,19,4.146,0.804,15.79,False
run_079,tori,16,3.816,0.888,31.25,False
run_080,tori,16,4.081,0.935,25.0,False
run_081,tori,20,3.85,0.7,20.0,False
run_082,tori,15,3.793,0.735,20.0,False
run_083,tori,16,3.806,0.819,18.75,False
run_084,tori,18,3.805,0.797,27.78,False
run_085,tori,15,3.821,0.656,13.33,False
run_086,tori,19,3.965,1.013,21.05,False
run_087,tori,15,4.058,1.163,53.33,False
run_088,tori,17,3.786,0.662,17.65,False
run_089,tori,17,3.865,0.813,17.65,False
run_090,tori,15,4.078,0.861,20.0,False
run_091,tori,19,3.875,0.882,26.32,False
run_092,tori,17,4.119,0.637,11.76,False
run_093,tori,17,3.778,1.033,41.18,False
run_094,tori,17,3.784,0.763,17.65,False
run_095,tori,16,3.475,1.038,31.25,False
run_096,tori,19,3.729,0.875,26.32,False
run_097,tori,15,3.539,0.886,33.33,False
run_098,tori,17,3.763,0.426,0.0,True
run_099,tori,18,3.817,0.726,27.78,False
run_100,tori,16,4.349,0.889,25.0,False
