slice_id,run_id,operator_id,slice_number,width_mm
slice_00001,run_001,molly,1,3.553
slice_00002,run_001,molly,2,3.824
slice_00003,run_001,molly,3,4.063
slice_00004,run_001,molly,4,4.531
slice_00005,run_001,molly,5,3.615
slice_00006,run_001,molly,6,3.865
slice_00007,run_001,molly,7,4.21
slice_00008,run_001,molly,8,4.095
slice_00009,run_001,molly,9,3.821
slice_00010,run_001,molly,10,3.903
slice_00011,run_001,molly,11,3.484
slice_00012,run_001,molly,12,3.868
slice_00013,run_001,molly,13,3.858
slice_00014,run_001,molly,14,4.026
slice_00015,run_001,molly,15,3.761
slice_00016,run_002,molly,1,4.142
slice_00017,run_002,molly,2,4.252
slice_00018,run_002,molly,3,4.078
slice_00019,run_002,molly,4,4.118
slice_00020,run_002,molly,5,4.058
slice_00021,run_002,molly,6,4.047
slice_00022,run_002,molly,7,3.901
slice_00023,run_002,molly,8,4.111
slice_00024,run_002,molly,9,4.027
slice_00025,run_002,molly,10,4.471
slice_00026,run_002,molly,11,4.366
slice_00027,run_002,molly,12,4.125
slice_00028,run_002,molly,13,3.893
slice_00029,run_002,molly,14,3.822
slice_00030,run_002,molly,15,4.288
slice_00031,run_002,molly,16,4.1
slice_00032,run_002,molly,17,4.144
slice_00033,run_002,molly,18,3.694
slice_00034,run_002,molly,19,4.235
slice_00035,run_003,molly,1,4.136
slice_00036,run_003,molly,2,3.691
slice_00037,run_003,molly,3,3.872
slice_00038,run_003,molly,4,4.081
slice_00039,run_003,molly,5,4.021
slice_00040,run_003,molly,6,3.923
slice_00041,run_003,molly,7,3.977
slice_00042,run_003,molly,8,3.935
slice_00043,run_003,molly,9,4.05
slice_00044,run_003,molly,10,4.425
slice_00045,run_003,molly,11,3.277
slice_00046,run_003,molly,12,3.939
slice_00047,run_003,molly,13,4.057
slice_00048,run_003,molly,14,4.091
slice_00049,run_003,molly,15,3.901
slice_00050,run_003,molly,16,3.507
slice_00051,run_003,molly,17,4.1
slice_00052,run_003,molly,18,4.497
slice_00053,run_004,molly,1,3.604
slice_00054,run_004,molly,2,4.221
slice_00055,run_004,molly,3,3.915
slice_00056,run_004,molly,4,3.983
slice_00057,run_004,molly,5,3.728
slice_00058,run_004,molly,6,3.913
slice_00059,run_004,molly,7,4.334
slice_00060,run_004,molly,8,4.149
slice_00061,run_004,molly,9,4.445
slice_00062,run_004,molly,10,4.302
slice_00063,run_004,molly,11,4.112
slice_00064,run_004,molly,12,4.448
slice_00065,run_004,molly,13,4.112
slice_00066,run_004,molly,14,4.212
slice_00067,run_004,molly,15,3.923
slice_00068,run_004,molly,16,4.016
slice_00069,run_004,molly,17,3.82
